Rank,Headline,Link
1,Show HN: ChartGPU – WebGPU-powered charting library (1M points at 60fps),https://github.com/ChartGPU/ChartGPU
2,SmartOS,https://docs.smartos.org/
3,Nested Code Fences in Markdown,https://susam.net/nested-code-fences.html
4,RTS for Agents,https://www.getagentcraft.com/
5,EU–INC – A new pan-European legal entity,https://www.eu-inc.org/
6,Anthropic's original take home assignment open sourced,https://github.com/anthropics/original_performance_takehome
7,Show HN: yolo-cage – AI coding agents that can't exfiltrate secrets,https://github.com/borenstein/yolo-cage
8,EmuDevz: A game about developing emulators,https://afska.github.io/emudevz/
9,"Ireland wants to give its cops spyware, ability to crack encrypted messages",https://www.theregister.com/2026/01/21/ireland_wants_to_give_police/
10,Batmobile: 10-20x Faster CUDA Kernels for Equivariant Graph Neural Networks,https://elliotarledge.com/blog/batmobile
11,TPM on Embedded Systems: Pitfalls and Caveats to Watch Out For,https://sigma-star.at/blog/2026/01/tpm-on-embedded-systems-pitfalls-and-caveats/
12,Comic-Con Bans AI Art After Artist Pushback,https://www.404media.co/comic-con-bans-ai-art-after-artist-pushback/
13,What Is a PC Compatible?,https://codon.org.uk/~mjg59/blog/p/what-is-a-pc-compatible/
14,Vibecoding #2,https://matklad.github.io/2026/01/20/vibecoding-2.html
15,Hightouch (YC S19) Is Hiring,https://hightouch.com/careers
16,"Stories removed from the Hacker News Front Page, updated in real time (2024)",https://github.com/vitoplantamura/HackerNewsRemovals
17,SETI@home is in hiberation,https://setiathome.berkeley.edu/
18,"A 26,000-year astronomical monument hidden in plain sight (2019)",https://longnow.org/ideas/the-26000-year-astronomical-monument-hidden-in-plain-sight/
19,RSS.Social – the latest and best from small sites across the web,https://rss.social/
20,I Made Zig Compute 33M Satellite Positions in 3 Seconds. No GPU Required,https://atempleton.bearblog.dev/i-made-zig-compute-33-million-satellite-positions-in-3-seconds-no-gpu-required/
4,PicoPCMCIA – a PCMCIA development board for retro-computing enthusiasts,https://www.yyzkevin.com/picopcmcia/
